id,index,Pref_days,pref_times,Event Date
6719865025,0,Thursdays,4pm - 6pm,2024-05-28
6719865025,0, Wednesdays,4pm - 6pm,2024-05-28
6719865025,0, Tuesdays,4pm - 6pm,2024-05-28
6720233952,1,Tuesdays,6pm - 8pm,2024-05-28
6720554800,2,Fridays,2pm - 4pm,2024-05-28
6720554800,2,Fridays, 4pm - 6pm,2024-05-28
6720554800,2, Saturdays,2pm - 4pm,2024-05-28
6720554800,2, Saturdays, 4pm - 6pm,2024-05-28
6720554947,3,Saturdays,4pm - 6pm,2024-05-28
6720554947,3,Saturdays, 12pm - 2pm,2024-05-28
6720554947,3, Sundays,4pm - 6pm,2024-05-28
6720554947,3, Sundays, 12pm - 2pm,2024-05-28
6720554947,3, Fridays,4pm - 6pm,2024-05-28
6720554947,3, Fridays, 12pm - 2pm,2024-05-28
6731154293,4,Mondays,9am - 12pm,2024-05-28
6731154293,4,Mondays, 4pm - 6pm,2024-05-28
6731154293,4,Mondays, 6pm - 8pm,2024-05-28
6731154293,4, Thursdays,9am - 12pm,2024-05-28
6731154293,4, Thursdays, 4pm - 6pm,2024-05-28
6731154293,4, Thursdays, 6pm - 8pm,2024-05-28
6731154293,4, Fridays,9am - 12pm,2024-05-28
6731154293,4, Fridays, 4pm - 6pm,2024-05-28
6731154293,4, Fridays, 6pm - 8pm,2024-05-28
6731154293,4, Saturdays,9am - 12pm,2024-05-28
6731154293,4, Saturdays, 4pm - 6pm,2024-05-28
6731154293,4, Saturdays, 6pm - 8pm,2024-05-28
6731154293,4, Sundays,9am - 12pm,2024-05-28
6731154293,4, Sundays, 4pm - 6pm,2024-05-28
6731154293,4, Sundays, 6pm - 8pm,2024-05-28
6731178091,5,Mondays,12pm - 2pm,2024-05-28
6731178091,5,Mondays, 2pm - 4pm,2024-05-28
6731178091,5,Mondays, 4pm - 6pm,2024-05-28
6731178091,5, Tuesdays,12pm - 2pm,2024-05-28
6731178091,5, Tuesdays, 2pm - 4pm,2024-05-28
6731178091,5, Tuesdays, 4pm - 6pm,2024-05-28
6731178091,5, Wednesdays,12pm - 2pm,2024-05-28
6731178091,5, Wednesdays, 2pm - 4pm,2024-05-28
6731178091,5, Wednesdays, 4pm - 6pm,2024-05-28
6731178091,5, Thursdays,12pm - 2pm,2024-05-28
6731178091,5, Thursdays, 2pm - 4pm,2024-05-28
6731178091,5, Thursdays, 4pm - 6pm,2024-05-28
6731178091,5, Fridays,12pm - 2pm,2024-05-28
6731178091,5, Fridays, 2pm - 4pm,2024-05-28
6731178091,5, Fridays, 4pm - 6pm,2024-05-28
6784626194,6,Mondays,2pm - 4pm,2024-06-06
6785305423,7,Thursdays,4pm - 6pm,2024-06-06
6785342471,8,Tuesdays,4pm - 6pm,2024-06-06
6785342471,8,Tuesdays, 6pm - 8pm,2024-06-06
6785342471,8, Wednesdays,4pm - 6pm,2024-06-06
6785342471,8, Wednesdays, 6pm - 8pm,2024-06-06
6785342471,8, Thursdays,4pm - 6pm,2024-06-06
6785342471,8, Thursdays, 6pm - 8pm,2024-06-06
6785453123,9,Tuesdays,9am - 12pm,2024-06-06
6785453123,9,Tuesdays, 2pm - 4pm,2024-06-06
6785453123,9,Tuesdays, 12pm - 2pm,2024-06-06
6785453123,9,Tuesdays, 4pm - 6pm,2024-06-06
6785453123,9,Tuesdays, 6pm - 8pm,2024-06-06
6785453123,9, Mondays,9am - 12pm,2024-06-06
6785453123,9, Mondays, 2pm - 4pm,2024-06-06
6785453123,9, Mondays, 12pm - 2pm,2024-06-06
6785453123,9, Mondays, 4pm - 6pm,2024-06-06
6785453123,9, Mondays, 6pm - 8pm,2024-06-06
6785453123,9, Wednesdays,9am - 12pm,2024-06-06
6785453123,9, Wednesdays, 2pm - 4pm,2024-06-06
6785453123,9, Wednesdays, 12pm - 2pm,2024-06-06
6785453123,9, Wednesdays, 4pm - 6pm,2024-06-06
6785453123,9, Wednesdays, 6pm - 8pm,2024-06-06
6785453123,9, Thursdays,9am - 12pm,2024-06-06
6785453123,9, Thursdays, 2pm - 4pm,2024-06-06
6785453123,9, Thursdays, 12pm - 2pm,2024-06-06
6785453123,9, Thursdays, 4pm - 6pm,2024-06-06
6785453123,9, Thursdays, 6pm - 8pm,2024-06-06
6785453123,9, Fridays,9am - 12pm,2024-06-06
6785453123,9, Fridays, 2pm - 4pm,2024-06-06
6785453123,9, Fridays, 12pm - 2pm,2024-06-06
6785453123,9, Fridays, 4pm - 6pm,2024-06-06
6785453123,9, Fridays, 6pm - 8pm,2024-06-06
6785453123,9, Saturdays,9am - 12pm,2024-06-06
6785453123,9, Saturdays, 2pm - 4pm,2024-06-06
6785453123,9, Saturdays, 12pm - 2pm,2024-06-06
6785453123,9, Saturdays, 4pm - 6pm,2024-06-06
6785453123,9, Saturdays, 6pm - 8pm,2024-06-06
6785453123,9, Sundays,9am - 12pm,2024-06-06
6785453123,9, Sundays, 2pm - 4pm,2024-06-06
6785453123,9, Sundays, 12pm - 2pm,2024-06-06
6785453123,9, Sundays, 4pm - 6pm,2024-06-06
6785453123,9, Sundays, 6pm - 8pm,2024-06-06
6785480613,10,Fridays,4pm - 6pm,2024-06-06
6785515166,11,Thursdays,4pm - 6pm,2024-06-06
6785515166,11, Wednesdays,4pm - 6pm,2024-06-06
6785515166,11, Tuesdays,4pm - 6pm,2024-06-06
6785524973,12,Wednesdays,12pm - 2pm,2024-06-06
6785529114,13,Wednesdays,12pm - 2pm,2024-06-06
6785720449,14,Thursdays,4pm - 6pm,2024-06-06
6785720449,14,Thursdays, 2pm - 4pm,2024-06-06
6785720449,14,Thursdays, 6pm - 8pm,2024-06-06
6785720449,14, Wednesdays,4pm - 6pm,2024-06-06
6785720449,14, Wednesdays, 2pm - 4pm,2024-06-06
6785720449,14, Wednesdays, 6pm - 8pm,2024-06-06
6785720449,14, Tuesdays,4pm - 6pm,2024-06-06
6785720449,14, Tuesdays, 2pm - 4pm,2024-06-06
6785720449,14, Tuesdays, 6pm - 8pm,2024-06-06
7270692924,15,Tuesdays,6pm - 8pm,2024-08-21
7270692924,15, Wednesdays,6pm - 8pm,2024-08-21
7270692924,15, Thursdays,6pm - 8pm,2024-08-21
7305850247,16,Thursdays,2pm - 4pm,2024-08-27
7415643697,17,Mondays,9am - 12pm,2024-09-12
7415653430,18,Tuesdays,9am - 12pm,2024-09-12
7415669984,19,Fridays,9am - 12pm,2024-09-12
7415673883,20,Thursdays,9am - 12pm,2024-09-12
7415708489,21,Fridays,4pm - 6pm,2024-09-12
7415708489,21, Saturdays,4pm - 6pm,2024-09-12
7415716921,22,Thursdays,4pm - 6pm,2024-09-12
7416480639,23,Thursdays,12pm - 2pm,2024-09-12
7419107040,24,Wednesdays,4pm - 6pm,2024-09-12
7419107040,24, Thursdays,4pm - 6pm,2024-09-12
7574451127,25,Tuesdays,4pm - 6pm,2024-09-17
7574452983,26,Mondays,4pm - 6pm,2024-09-17
7574452983,26, Tuesdays,4pm - 6pm,2024-09-17
7574452983,26, Wednesdays,4pm - 6pm,2024-09-17
7574452983,26, Thursdays,4pm - 6pm,2024-09-17
7574452983,26, Fridays,4pm - 6pm,2024-09-17
7574456170,27,Tuesdays,2pm - 4pm,2024-09-17
7574456170,27,Tuesdays, 4pm - 6pm,2024-09-17
7574456170,27,Tuesdays, 6pm - 8pm,2024-09-17
7574456170,27, Thursdays,2pm - 4pm,2024-09-17
7574456170,27, Thursdays, 4pm - 6pm,2024-09-17
7574456170,27, Thursdays, 6pm - 8pm,2024-09-17
7574456170,27, Saturdays,2pm - 4pm,2024-09-17
7574456170,27, Saturdays, 4pm - 6pm,2024-09-17
7574456170,27, Saturdays, 6pm - 8pm,2024-09-17
7574458157,28,Tuesdays,4pm - 6pm,2024-09-17
7574459758,29,Tuesdays,4pm - 6pm,2024-09-17
7574459758,29, Wednesdays,4pm - 6pm,2024-09-17
7574459758,29, Thursdays,4pm - 6pm,2024-09-17
7574498432,30,Wednesdays,4pm - 6pm,2024-09-17
