id,Gender,Have you previously attended any events organized by Tribe?,What day of the week are most convenient for you to attend events?,During which time(s) of the day are you most likely to attend events?,What topics would you be most interested in discussing or learning about during Tribe events?,"Would you like to see more gender focused events (e.g. female entrepreneurship, including discussions with female founders and women in business)",Do you feel that event advertisements are relevant to your interests and needs as a member of your gender group,What improvements or changes would encourage you to attend Tribe events more frequently? (Open-ended)?,Event Date,Year,Month,Month_name
6719865025,Female,Yes,"Thursdays, Wednesdays, Tuesdays",4pm - 6pm,.,Yes,Yes,.,2024-05-28,2024,5,May
6720233952,Male,Yes,Tuesdays,6pm - 8pm,Networking,Yes,Yes,Everything was great,2024-05-28,2024,5,May
6720554800,Male,No,"Fridays, Saturdays","2pm - 4pm, 4pm - 6pm",Entrepeneur/Startups,Yes,No,Snacks and free food :),2024-05-28,2024,5,May
6720554947,Male,No,"Saturdays, Sundays, Fridays","4pm - 6pm, 12pm - 2pm",Startups,No,No,More snacks,2024-05-28,2024,5,May
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May
6784626194,Male,No,Mondays,2pm - 4pm,Business development,Yes,Yes,Everything was set. I enjoyed it .,2024-06-06,2024,6,June
6785305423,Male,Yes,Thursdays,4pm - 6pm,Business,No,Yes,Hi,2024-06-06,2024,6,June
6785342471,Male,Yes,"Tuesdays, Wednesdays, Thursdays","4pm - 6pm, 6pm - 8pm",Tech AI Marketing Business Development,I'm indifferent,I'm indifferent,It’s good for the moment!,2024-06-06,2024,6,June
6785453123,Female,No,"Tuesdays, Mondays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 2pm - 4pm, 12pm - 2pm, 4pm - 6pm, 6pm - 8pm",Matching companies and people who has required expertise,No,Yes,"Give everyone a small name tag and their idea tag so that people can approach to the right person to talk further, currently we have to remember by mind during their one minute introduce ",2024-06-06,2024,6,June
6785480613,Male,Yes,Fridays,4pm - 6pm,Business ideas,Yes,Yes,It’s good ,2024-06-06,2024,6,June
6785515166,Male,No,"Thursdays, Wednesdays, Tuesdays",4pm - 6pm,Entrepreneurship,No,No,…,2024-06-06,2024,6,June
6785524973,Male,Yes,Wednesdays,12pm - 2pm,Anything,No,Yes,Not any improvements,2024-06-06,2024,6,June
6785529114,Male,Yes,Wednesdays,12pm - 2pm,Business,No,I'm indifferent,More engangement,2024-06-06,2024,6,June
6785720449,Male,Yes,"Thursdays, Wednesdays, Tuesdays","4pm - 6pm, 2pm - 4pm, 6pm - 8pm","Funding, partnership",I'm indifferent,Yes,Ability to selectively push event details to my calendar with a single click,2024-06-06,2024,6,June
7270692924,Male,No,"Tuesdays, Wednesdays, Thursdays",6pm - 8pm,Software related,No,I'm indifferent,I don’t know ,2024-08-21,2024,8,August
